Isaac Hayes;Hung Up on My Baby;Tough Guys OST;1974;Soul / Funk / Disco;Gabriel O Pensador;Lavagem Cerebral;Gabriel O Pensador;1993;S;0;http://www.whosampled.com/sample/view/19388/Gabriel%20O%20Pensador-Lavagem%20Cerebral_Isaac%20Hayes-Hung%20Up%20on%20My%20Baby/
Isaac Hayes;A Few More Kisses to Go;Don't Let Go;1979;Soul / Funk / Disco;Big L;Platinum Plus;The Big Picture (1974 - 1999);2000;S;1;http://www.whosampled.com/sample/view/21072/Big%20L%20feat.%20Big%20Daddy%20Kane-Platinum%20Plus_Isaac%20Hayes-A%20Few%20More%20Kisses%20to%20Go/
Isaac Hayes;The Look of Love;...To Be Continued;1970;Soul / Funk / Disco;Utah Jazz;La Cinta;It’s a Jazz Thing;2008;S;0;http://www.whosampled.com/sample/view/67299/Utah%20Jazz-La%20Cinta_Isaac%20Hayes-The%20Look%20of%20Love/
Isaac Hayes;Medley: Ike's Rap III/Your Love Is So Doggone Good;Black Moses;1971;Soul / Funk / Disco;Big Noyd;Usual Suspect (Stretch Armstrong Remix);Episodes of a Hustla;1996;S;0;http://www.whosampled.com/sample/view/69578/Big%20Noyd-Usual%20Suspect%20(Stretch%20Armstrong%20Remix)_Isaac%20Hayes-Medley:%20Ike's%20Rap%20III/Your%20Love%20Is%20So%20Doggone%20Good/
Isaac Hayes;Vykkii;Disco Connection;1975;Soul / Funk / Disco;Metal Fingers;Charnsuka;Special Herbs, Vol. 1;2001;S;0;http://www.whosampled.com/sample/view/2242/Metal%20Fingers-Charnsuka_Isaac%20Hayes-Vykkii/
Isaac Hayes;Theme From Shaft;Isaac Hayes;1971;Soul / Funk / Disco;Poison Clan;Dance All Nite;2 Low Life Muthas;1990;S;4;http://www.whosampled.com/sample/view/74/Poison%20Clan-Dance%20All%20Nite_Isaac%20Hayes-Theme%20From%20Shaft/
Isaac Hayes;The Look of Love;...To Be Continued;1970;Soul / Funk / Disco;Messy Marv;This Is the Mob for Life;Explosive Mode 3: The Mob Gets Explosive;2006;S;0;http://www.whosampled.com/sample/view/18527/Messy%20Marv,%20San%20Quinn,%20The%20Jacka%20and%20Husalah-This%20Is%20the%20Mob%20for%20Life_Isaac%20Hayes-The%20Look%20of%20Love/
Isaac Hayes;Walk on By;Hot Buttered Soul;1969;Soul / Funk / Disco;Bushwick Bill;Only God Knows;Phantom of the Rapra;1995;S;0;http://www.whosampled.com/sample/view/53/Bushwick%20Bill-Only%20God%20Knows_Isaac%20Hayes-Walk%20on%20By/
Isaac Hayes;Run Fay Run;Tough Guys;1974;Soul / Funk / Disco;Neo Ex;Sprekelescene;L'Anello Mancante EP;2002;S;0;http://www.whosampled.com/sample/view/108511/Neo%20Ex-Sprekelescene_Isaac%20Hayes-Run%20Fay%20Run/
Isaac Hayes;Theme From Shaft;Isaac Hayes;1971;Soul / Funk / Disco;Young MC;Know How;Stone Cold Rhymin';1989;S;4;http://www.whosampled.com/sample/view/70/Young%20MC-Know%20How_Isaac%20Hayes-Theme%20From%20Shaft/
